kwic_id,doc_id,doc_token_id,doc_file_name,hit_size,S1,S2,S3,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,
336,14,234,_10_1371_journal_pone_0062712.txt,1,10,1,1,and ,trimethoprim. ,Highest ,levels ,of ,both ,antibiotics ,and ,ARGs ,were ,seen ,at ,a ,drug ,formulation ,"facility, ",within ,an ,industrial ,estate ,
312,96,89,_10_1371_journal_pone_0092459.txt,1,10,1,1,copper (,Cu) > ,chromium (,"Cr), ",in ,"particular, ",As ,and ,Cd ,were ,regarded ,as ,high ,polluted ,metals. ,While ,the ,results ,of ,extraction ,
107,5,46,_10_1371_journal_pone_0057546.txt,1,10,1,1,who ,have ,increased ,number ,of ,joint ,publications ,and ,are ,being ,cited ,highly. ,Methodology/,Principal ,Findings: ,Measures ,of ,social ,network ,"analysis, ",
129,87,22,_10_1371_journal_pone_0089664.txt,1,10,1,1,cold-,climate ,mountain ,"ecosystems, ",where ,road ,building ,and ,development ,are ,expected ,to ,increase ,in ,future ,decades. ,Knowledge ,of ,the ,sensitivity ,
161,99,27,_10_1371_journal_pone_0094414.txt,1,10,1,1,nodes ,are ,"airports, ","sectors, ",or ,navigation ,points ,and ,links ,are ,defined ,and ,weighted ,according ,to ,the ,traffic ,of ,flights ,between ,
333,24,38,_10_1371_journal_pone_0064852.txt,1,10,1,1,edges ,of ,its ,distribution ,range ,in ,Europe ,and ,little ,is ,known ,about ,its ,current ,distribution ,and ,abundance ,in ,Poland. ,Although ,
120,34,105,_10_1371_journal_pone_0068636.txt,1,10,1,1,"Scale, ",intensive ,care ,unit ,"admissions, ",hospital ,stay ,and ,mortality ,were ,analyzed. ,Results: 245 ,patients ,were ,"studied, 69% ",were ,vehicle ,"occupants, 15% ","pedestrians, 9% ",motorcyclists ,
280,64,136,_10_1371_journal_pone_0080275.txt,1,10,1,1,weeds/,invaders ,in ,South ,Africa. ,One ,hundred ,and ,one ,are ,classified ,as ,internationally ,important ,environmental ,weeds. ,Although ,most (487) ,were ,only ,
97,78,186,_10_1371_journal_pone_0087470.txt,1,10,1,1,movements ,and ,an ,additional ,evaluation ,of ,head ,and ,shoulder ,was ,performed. ,Six ,out ,of ,ten ,HP ,and ,four ,out ,of ,
154,11,37,_10_1371_journal_pone_0060590.txt,1,10,1,1,at ,which ,distinct ,behaviors ,related ,to ,reproduction ,and ,survival ,are ,impacted ,by ,human ,interference. ,Here ,we ,provide ,a ,novel ,approach ,
334,87,10,_10_1371_journal_pone_0089664.txt,1,10,2,2,"
",Effects ,of ,roads ,on ,plant ,communities ,are ,not ,well ,known ,in ,cold-,climate ,mountain ,"ecosystems, ",where ,road ,building ,and ,
346,95,98,_10_1371_journal_pone_0092430.txt,1,10,2,2,actions. ,"Nonetheless, ",the ,implications ,of ,these ,impediments ,are ,not ,well ,"understood, ",especially ,for ,recovery ,planning ,involving ,multiple ,actions. ,We ,used ,
106,89,232,_10_1371_journal_pone_0090835.txt,1,10,1,1,zebra ,crosswalk ,accidents. ,Accidents ,involving ,large ,vehicles ,are ,associated ,with ,increased ,risk ,of ,severe ,injury. ,Further ,prospective ,studies ,are ,"needed, ",
